# lambda(nm)  coeff spline
 1474.000 0.00018368    -2.0773e-04
 1475.000 0.00015804     2.0554e-04
 1476.000 0.00018624    -2.9139e-04
 1477.000 0.00009948     2.7026e-04
 1478.000 0.00012892    -9.2442e-05
 1479.000 0.00014060    -7.0493e-06
 1480.000 0.00013306     5.3193e-06
 1481.000 0.00012428    -2.1668e-05
 1482.000 0.00012977     1.6697e-04
 1483.000 0.00019438    -2.9150e-04
 1484.000 0.00012434     1.9114e-04
 1485.000 0.00013703     2.3316e-05
 1486.000 0.00017845    -1.1203e-04
 1487.000 0.00014549    -2.1492e-05
 1488.000 0.00010776     1.6937e-04
