# lambda(nm)  coeff spline
 1217.000 0.00017692     1.3423e-05
 1218.000 0.00020633    -1.6487e-04
 1219.000 0.00015156     1.4099e-04
 1220.000 0.00015572    -4.5525e-05
 1221.000 0.00015568     1.5905e-05
 1222.000 0.00015148    -4.3057e-05
 1223.000 0.00013457     8.0061e-05
 1224.000 0.00015566    -4.9188e-05
 1225.000 0.00015138    -3.5527e-05
 1226.000 0.00013455     1.1600e-04
 1227.000 0.00018507    -2.4365e-05
 1228.000 0.00020611    -1.9542e-04
 1229.000 0.00013031     2.2500e-04
 1230.000 0.00015554    -9.8408e-05
 1231.000 0.00015136    -7.8314e-06
 1232.000 0.00014293     1.0423e-04
 1233.000 0.00017240    -1.8170e-04
 1234.000 0.00012189     1.4269e-04
 1235.000 0.00014718     6.5739e-05
 1236.000 0.00019757    -2.5505e-04
 1237.000 0.00013462     2.7441e-04
 1238.000 0.00017667    -2.1260e-04
 1239.000 0.00013883     9.6647e-05
 1240.000 0.00014304     7.8313e-05
 1241.000 0.00018507    -1.8298e-04
 1242.000 0.00014725     1.7451e-04
 1243.000 0.00017648    -1.1275e-04
 1244.000 0.00016795     4.9926e-05
 1245.000 0.00017223    -1.0095e-05
 1246.000 0.00015931    -1.1275e-04
 1247.000 0.00011341     2.6320e-04
 1248.000 0.00016803    -3.3692e-04
 1249.000 0.00009248     3.0347e-04
 1250.000 0.00014706    -9.6192e-05
 1251.000 0.00018095    -4.2845e-05
 1252.000 0.00017643     3.7113e-05
 1253.000 0.00016756    -1.3171e-04
 1254.000 0.00011331     2.1744e-04
 1255.000 0.00015532    -1.6047e-04
 1256.000 0.00013005     2.0782e-05
 1257.000 0.00010057     5.2087e-05
 1258.000 0.00012156     7.3691e-05
 1259.000 0.00016773    -1.9577e-04
 1260.000 0.00013007     2.0641e-04
 1261.000 0.00017632    -1.2642e-04
 1262.000 0.00015950    -7.9167e-05
 1263.000 0.00009957     1.8443e-04
 1264.000 0.00013452    -8.9256e-05
 1265.000 0.00014970     5.3978e-05
 1266.000 0.00017657    -5.6518e-05
 1267.000 0.00019179     1.0219e-04
 1268.000 0.00022278    -2.5763e-04
 1269.000 0.00013823     2.3509e-04
 1270.000 0.00014603    -1.2864e-04
 1271.000 0.00012603     1.1267e-04
 1272.000 0.00016750     4.6792e-05
 1273.000 0.00021369    -2.7152e-04
 1274.000 0.00013411     2.8465e-04
 1275.000 0.00017600    -1.3826e-04
 1276.000 0.00016752    -3.3837e-05
 1277.000 0.00014971     2.1763e-04
 1278.000 0.00023057    -2.4464e-04
 1279.000 0.00018411    -2.9694e-06
 1280.000 0.00012411     1.7528e-04
 1281.000 0.00017491    -3.3357e-05
 1282.000 0.00020146    -1.8735e-04
 1283.000 0.00013477     2.2333e-04
 1284.000 0.00016345    -1.3374e-04
 1285.000 0.00014547     3.1662e-05
 1286.000 0.00015561     1.7581e-04
 1287.000 0.00021711    -4.2674e-04
 1288.000 0.00009839     4.4981e-04
 1289.000 0.00018227    -1.5692e-04
 1290.000 0.00020909    -1.6450e-04
 1291.000 0.00014207     2.5187e-04
 1292.000 0.00018678    -1.7259e-04
 1293.000 0.00015763    -4.6842e-06
 1294.000 0.00010893     7.4022e-05
 1295.000 0.00011748     5.2095e-05
 1296.000 0.00016274    -6.2143e-05
 1297.000 0.00017968     2.6555e-05
 1298.000 0.00017931    -1.4794e-04
 1299.000 0.00012185     2.2266e-04
 1300.000 0.00015019    -2.2789e-04
 1301.000 0.00009950     2.1474e-04
 1302.000 0.00013034    -1.4189e-04
 1303.000 0.00012838     1.5602e-04
 1304.000 0.00017180    -2.0991e-04
 1305.000 0.00012446     1.3908e-04
 1306.000 0.00013413    -4.3375e-06
 1307.000 0.00016279    -7.7880e-06
 1308.000 0.00017647    -5.4390e-05
 1309.000 0.00014703    -3.3370e-05
 1310.000 0.00011069     1.4647e-04
 1311.000 0.00016271    -2.2353e-05
 1312.000 0.00019201    -1.9338e-04
 1313.000 0.00013373     2.7039e-04
 1314.000 0.00018811    -2.1220e-04
 1315.000 0.00016643     1.2207e-04
 1316.000 0.00015834    -1.9454e-04
 1317.000 0.00009123     3.0197e-04
 1318.000 0.00015954    -2.0083e-04
 1319.000 0.00016650     1.3326e-04
 1320.000 0.00020325    -1.5346e-04
 1321.000 0.00017956     1.1793e-04
 1322.000 0.00018353    -1.5231e-04
 1323.000 0.00015030     2.6810e-04
 1324.000 0.00020827    -3.7290e-04
 1325.000 0.00011649     3.2501e-04
 1326.000 0.00015824    -1.2597e-04
 1327.000 0.00017908     5.3410e-05
 1328.000 0.00019162    -1.3747e-04
 1329.000 0.00012896     4.5269e-05
 1330.000 0.00008290     5.5993e-05
 1331.000 0.00010347     1.3054e-04
 1332.000 0.00018716    -1.9943e-04
 1333.000 0.00015889    -4.5878e-06
 1334.000 0.00012474     1.8250e-04
 1335.000 0.00017016    -2.4799e-04
 1336.000 0.00011218     1.8905e-04
 1337.000 0.00014527     3.8200e-05
 1338.000 0.00019551    -2.3895e-04
 1339.000 0.00012433     1.8909e-04
 1340.000 0.00014149     1.2649e-05
 1341.000 0.00017946    -1.1482e-04
 1342.000 0.00015705     8.4355e-05
