# lambda(nm)  coeff spline
 1163.440 0.98694098    -2.2894e-03
 1163.940 0.98569101     4.3549e-02
 1164.440 0.98886001    -6.5874e-02
 1164.940 0.98283201    -8.0901e-04
 1165.440 0.97576600     4.4216e-02
 1165.940 0.97699797     2.3061e-02
 1166.440 0.98262602    -3.0968e-02
 1166.940 0.98492199     2.0846e-02
 1167.450 0.98848301    -2.4094e-02
 1167.950 0.98866600    -3.3059e-03
 1168.450 0.98819900     2.1728e-02
 1168.950 0.99054903    -1.5983e-02
 1169.450 0.99147302     7.9790e-03
 1169.950 0.99215102    -2.1829e-02
 1170.450 0.98996401     1.0564e-02
 1170.950 0.98957300     2.2669e-02
 1171.450 0.99225301    -2.7553e-02
 1171.950 0.99101502    -6.5124e-03
 1172.450 0.98865002     2.6552e-02
 1172.960 0.98898298    -3.5460e-02
 1173.460 0.98252600    -4.6679e-02
 1173.960 0.97202301     1.2508e-01
 1174.460 0.98008198    -8.2570e-03
 1174.960 0.98910397    -6.8886e-02
 1175.460 0.98874599     5.8592e-02
 1175.960 0.99436599    -2.2010e-02
 1176.460 0.99751800    -2.9786e-02
 1176.960 0.99199599    -6.7049e-02
 1177.460 0.97735399     7.9094e-02
 1177.960 0.97578299     6.4332e-02
 1178.460 0.98671401    -3.6346e-02
 1178.960 0.99148202    -6.6926e-02
 1179.470 0.98577601     5.6901e-02
 1179.970 0.98795599     2.4961e-02
 1180.470 0.99450600    -5.1863e-02
 1180.970 0.99077898    -6.4156e-02
 1181.470 0.97356200    -1.5136e-02
 1181.970 0.95899600     1.8820e-01
 1182.470 0.97442198    -1.7682e-02
 1182.970 0.99174303    -7.2067e-02
 1183.470 0.99436802    -4.6646e-02
 1183.970 0.98602301    -4.6833e-03
 1184.470 0.97726399     5.5483e-02
 1184.980 0.97957301     4.4163e-02
 1185.480 0.99009401    -3.6819e-02
 1185.980 0.99508202    -2.9679e-02
 1186.480 0.99374098     3.6607e-03
 1186.980 0.98989898    -4.5020e-02
 1187.480 0.97901702     7.4622e-03
 1187.980 0.97085202     8.0403e-02
 1188.480 0.97692400     1.2603e-02
 1188.980 0.98707402    -3.2952e-02
 1189.480 0.99197203    -6.8420e-03
 1189.980 0.99343300    -2.2169e-02
 1190.480 0.99162102     1.6967e-02
 1190.980 0.99194098     5.4692e-03
 1191.490 0.99364501    -6.5272e-03
 1191.990 0.99485999     9.8746e-03
 1192.490 0.99631202    -2.7286e-02
 1192.990 0.99296498    -1.5909e-02
 1193.490 0.98844802     6.2842e-02
 1193.990 0.99282402    -2.2030e-02
 1194.490 0.99519998    -2.2722e-02
 1194.990 0.99312502     6.0947e-03
 1195.490 0.99167001     1.3221e-02
 1195.990 0.99278098     2.6029e-03
 1196.490 0.99461299    -6.3283e-03
 1197.000 0.99426401    -2.8642e-02
 1197.500 0.99064302     4.3479e-02
 1198.000 0.99153900    -3.6867e-02
 1198.500 0.98759800    -1.2099e-02
 1199.000 0.98308301     7.1486e-02
 1199.500 0.98894602    -2.4774e-02
 1200.000 0.99280900    -2.0390e-02
 1200.500 0.99233001     2.1273e-03
 1201.000 0.99091703    -1.0535e-02
 1201.500 0.98838902     1.3254e-02
 1202.000 0.98893499     3.1296e-02
 1202.500 0.99358702    -3.9894e-02
 1203.000 0.98934102    -8.5274e-02
 1203.500 0.97207600     6.8531e-02
 1204.000 0.96720600     1.0863e-01
 1204.500 0.97961003    -8.8471e-02
 1205.000 0.98364103     4.4301e-02
 1205.500 0.99055302    -1.9590e-02
 1206.000 0.99439102    -3.9719e-02
 1206.500 0.99119002     9.5274e-03
 1207.000 0.98841101     1.1737e-02
 1207.500 0.98798501    -2.4211e-06
 1208.000 0.98833501     6.8967e-03
 1208.500 0.98922700    -1.4577e-02
 1209.000 0.98845500     1.1475e-02
 1209.500 0.98922497     5.6859e-03
 1210.000 0.99183398     9.9188e-03
 1210.500 0.99484301    -3.5761e-02
 1211.000 0.99218798    -2.8123e-03
 1211.500 0.98908001     3.6140e-02
 1212.000 0.99137700    -1.2028e-02
 1212.500 0.99360102     1.0222e-02
 1213.000 0.99642402    -1.4485e-02
 1213.500 0.99654299    -1.7179e-02
 1214.000 0.99368602     1.1779e-02
 1214.500 0.99232101     5.8686e-03
 1215.000 0.99280798     9.1934e-03
 1215.500 0.99513203     1.4475e-03
 1216.000 0.99718702    -2.1441e-02
 1216.500 0.99607700     8.3555e-03
 1217.000 0.99594998     1.1611e-02
 1217.500 0.99709600    -2.4246e-02
 1218.000 0.99481201     3.0544e-03
 1218.500 0.99210602     1.9009e-03
 1219.000 0.99046600     1.4925e-02
 1219.500 0.99158299     4.5668e-03
 1220.000 0.99398798    -2.2806e-03
 1220.500 0.99599802    -4.9231e-03
 1221.000 0.99619401    -2.1565e-02
 1221.500 0.99334598     1.8126e-02
 1222.000 0.99272799     2.5823e-03
 1222.500 0.99330002     1.0502e-04
 1223.000 0.99392700    -1.6834e-03
 1223.500 0.99432802     1.2057e-03
 1224.000 0.99508202     5.3322e-03
 1224.500 0.99653602    -5.7344e-03
 1225.000 0.99714202    -2.7464e-03
 1225.500 0.99725300     4.8396e-03
 1226.000 0.99776900    -6.8918e-03
 1226.500 0.99706697    -6.5050e-03
 1227.000 0.99569798     1.6904e-02
 1227.500 0.99690402     6.8816e-04
 1228.000 0.99862498    -7.2989e-03
 1228.500 0.99903297    -3.0038e-03
 1229.000 0.99863398    -5.3606e-05
 1229.500 0.99827498     4.1781e-03
 1230.000 0.99865699     1.1254e-03
 1230.500 0.99930400    -2.3195e-03
 1231.000 0.99955601    -1.3274e-03
 1231.500 0.99952602     8.6145e-04
 1232.000 0.99950802    -1.8308e-03
 1232.500 0.99915999    -1.4589e-03
 1233.000 0.99866599     4.1630e-03
 1233.500 0.99890202     2.3278e-03
 1234.000 0.99956399    -3.2516e-03
 1234.500 0.99974900    -7.6840e-04
 1235.000 0.99969202     5.1728e-04
 1235.500 0.99971497     6.1758e-04
 1236.000 0.99979299    -1.6658e-03
 1236.500 0.99964398     5.9687e-04
 1237.000 0.99959302     1.6315e-03
 1237.500 0.99979103    -1.1478e-03
 1238.000 0.99985802    -1.8478e-04
 1238.500 0.99986202     3.7481e-04
 1239.000 0.99991798    -6.7045e-05
 1239.500 0.99996400    -3.4552e-04
 1240.000 0.99992502    -5.9077e-04
 1240.500 0.99980199     6.9160e-04
 1241.000 0.99980003     7.2976e-04
 1241.500 0.99992502    -5.6364e-04
 1242.000 0.99997997    -1.5606e-04
 1242.500 0.99998701     3.7739e-05
 1243.000 0.99998999    -9.2171e-05
 1243.500 0.99996799    -2.6844e-04
