#0.9-5.6um (900-5600nm) sky emission above Mauna Kea
#for 1.6mm H2O, 1.5 airmasses
#resolution is 0.20nm (0.00020um)

#     nm             ph/sec/arcsec2/nm/m2

     978.3400       2.942821
     978.4401       2.844821
     978.5399       2.550224
     978.6400       2.933808
     978.7401       2.945201
     978.8400       2.936013
     978.9399       2.880385
     979.0400       2.912891
     979.1400       4.765384
     979.2401      16.338499
     979.3400      88.456497
     979.4401      39.913559
     979.5399       2.820397
     979.6400       2.655415
     979.7401       2.925898
     979.8400       3.039099
     979.9401       7.358871
     980.0399       2.937412
     980.1400       3.118228
     980.2401      47.698849
     980.3400       2.957430
     980.4401       2.603119
     980.5399       2.870601
     980.6400       2.873925
     980.7401       2.935360
     980.8400       2.931432
     980.9401       2.993772
     981.0399       3.925957
     981.1400       3.759179
     981.2401       2.935794
     981.3400       2.933254
     981.4399      16.758112
     981.5400       4.338612
     981.6400       2.868771
     981.7401       2.934005
     981.8400       2.876973
     981.9399       3.087811
     982.0399       3.043424
     982.1400       2.936939
     982.2401       2.935893
     982.3400       2.933648
     982.4401       2.828197
     982.5399       2.931542
     982.6400       3.125965
     982.7401       3.200177
     982.8400       2.753082
     982.9401       2.883615
     983.0399       4.799877
     983.1400       5.151211
     983.2401       2.929218
     983.3400       2.905146
     983.4401       2.828083
     983.5399       2.918199
     983.6400       2.930336
     983.7401       2.929700
     983.8400       2.909928
     983.9401       2.928544
     984.0399       2.926802
     984.1400       2.921562
     984.2401       2.916330
     984.3400       2.923375
     984.4401       2.925664
     984.5399       2.863392
     984.6400       2.887081
     984.7401       3.064613
     984.8400       2.915476
     984.9401       2.916761
     985.0399       4.637349
     985.1400      32.530197
     985.2401       2.908762
     985.3400       2.907899
     985.4401       2.920509
     985.5400       2.915349
     985.6400       2.922083
     985.7401       2.918023
     985.8400       2.921337
     985.9401       2.910985
     986.0399       2.915646
     986.1400       2.921496
     986.2401       2.920597
     986.3400       2.916911
     986.4401       2.919689
     986.5399       2.920011
     986.6400       2.919233
     986.7401       2.917816
     986.8400       2.907411
     986.9401       2.916786
     987.0399       2.900195
     987.1400       2.927605
     987.2401       2.916953
     987.3400       2.904024
     987.4401      65.858475
     987.5399      44.338558
     987.6400       2.876387
     987.7401       2.905167
     987.8400       2.915178
     987.9399       2.914714
     988.0400       2.909878
     988.1400       2.904008
     988.2401       2.913705
     988.3400       2.913251
     988.4401       2.912935
     988.5399       2.912540
     988.6400       2.912030
     988.7401       2.909340
     988.8400       2.931261
     988.9401       2.931369
     989.0399       2.909256
     989.1400       2.908813
     989.2401       2.909220
     989.3400       2.908785
     989.4401       2.907204
     989.5399       2.908862
     989.6400       2.935727
     989.7401      40.879025
     989.8400       3.101797
     989.9401       2.904923
     990.0399       2.903769
     990.1400       2.892968
     990.2401       2.886787
     990.3400       2.903645
     990.4399       2.926836
     990.5400       2.905201
     990.6400       2.904773
     990.7401       2.902005
     990.8400       2.903121
     990.9401       2.903703
     991.0399       2.901513
     991.1400       2.894549
     991.2401       2.900548
     991.3400       2.899271
     991.4401       2.900906
     991.5399       2.901478
     991.6400       3.961730
     991.7401     108.705345
     991.8400       3.687635
     991.9401       2.899909
     992.0399       2.899636
     992.1400       2.899045
     992.2401       2.894836
     992.3400       2.893391
     992.4401       2.898156
     992.5399       2.897786
     992.6400       2.897323
     992.7401       2.896927
     992.8400       2.892776
     992.9399       2.864843
     993.0400       2.891295
     993.1400       2.890705
     993.2401       2.894160
     993.3400       2.893197
     993.4401       2.894438
     993.5399       2.894091
     993.6400       2.894561
     993.7401       2.891912
     993.8400       2.891412
     993.9401       2.892588
     994.0399       2.892244
     994.1400       2.891875
     994.2401       2.890794
     994.3400       2.974195
     994.4401      36.963066
     994.5399      10.354997
     994.6400       2.890029
     994.7401      11.921847
     994.8400      30.150593
     994.9401      46.080700
     995.0399      15.782494
     995.1400       7.529466
     995.2401       5.588553
     995.3400       2.896177
     995.4401       2.886262
     995.5399       2.886184
     995.6400       2.886336
     995.7401       2.885928
     995.8400       3.304096
     995.9399      65.742050
     996.0399       2.918638
     996.1400       2.884340
     996.2401       3.327350
     996.3400       5.030378
     996.4401      56.994530
     996.5399      17.878725
     996.6400       2.882650
     996.7401       2.882256
     996.8400       2.881224
     996.9401       2.880295
     997.0400       2.876854
     997.1400       2.880854
     997.2401       2.879694
     997.3400       2.883607
     997.4401       5.206844
     997.5399      16.589388
     997.6400       2.878972
     997.7401       2.877282
     997.8400       2.878226
     997.9401       2.892983
     998.0399       3.201238
     998.1400       3.213553
     998.2401       2.877360
     998.3400       2.881333
